HoldingBar,AvgReturn_lb1,AvgReturn_lb2,AvgReturn_lb3,AvgReturn_lb4,AvgReturn_lb5,AvgReturn_lb6,AvgReturn_lb7,AvgReturn_lb8,AvgReturn_lb9,AvgReturn_lb10,AvgReturn_lb11,AvgReturn_lb12,AvgReturn_lb13,AvgReturn_lb14,AvgReturn_lb15,AvgReturn_lb16,AvgReturn_lb17,AvgReturn_lb18,AvgReturn_lb19,AvgReturn_lb20,AvgReturn_lb21
1,1.4433257099004353,1.309302569850176,1.3131445301930627,1.2729469395510018,1.1911144202002528,1.1457340030441638,1.0719815076644277,1.1269791181906317,1.1121198145943638,1.134381307213531,1.0993191648791516,1.0714379866344865,0.9990909497952152,inf,0.9801445948109868,1.121706829469372,1.0966711213166176,1.0247897331032674,1.0797356542135237,1.0500731134624386,0.8345401153990729
2,1.611075659638225,1.4923520099232812,1.532061572863296,1.5139912324829077,1.4276767942431179,1.2966782412683366,1.2928570875111571,1.263961323733356,1.3863713183488362,1.3183527907196866,1.3896021524648055,1.3624470897895231,1.31918160401119,1.206701458443246,1.1132305534641,1.3400251125383158,1.2477743276740216,1.23981995893971,1.3479800260740646,1.2937992152644695,1.0558992507166742
3,1.5434868190124662,1.4687478308076625,1.4506280616988123,1.271195298866942,1.2478591139827555,1.1027514845762274,0.9869015769862256,1.1106943265463574,1.0902686296959654,1.1213572516927137,1.1734637173322056,1.2487531191811327,1.0848417225162008,1.1600836910429753,1.467662904603412,1.6385050205475373,1.3666826168504707,1.550090104399478,1.258702788329947,1.2517802904123092,0.9803938159587929
4,1.7066107798380905,1.9421073095838035,1.4528939455345629,1.8767520795408106,1.8054666407606221,1.1190939801416837,1.2080054855851667,1.163277552910395,1.2047323276824242,1.2786810006379041,1.9328168468773927,1.308244891066794,1.6039865505636544,1.452659766178545,1.5296924296975116,1.1495396600704928,1.7070163771425062,1.6037839507563743,1.7669698296456746,1.617511159512054,1.4248336356592541
5,1.6957830723663534,1.3158204324978238,1.5484087187213929,1.4042860849433647,1.1606846342906654,1.3229153983806212,1.0295449294297865,2.064015168833253,2.3710125311416763,2.40452570150992,2.326861408251971,2.3182925872376154,2.151133020248555,2.2047169681293903,2.724780475540917,2.9562161302048753,2.223224146019722,2.946082104314789,2.3880967369196577,2.333933391278542,2.112724139806249
6,1.5158112439375349,1.0802949486382518,1.1696599583195022,1.0796641549020827,0.988861428632499,0.9385994625824521,0.9829328967639721,1.8566236271260912,2.1690994055617727,2.0670132128640843,2.24658413913281,2.8788915894514635,2.6491576439160776,1.9316451630315958,2.5997127498457964,2.9094756087605327,2.8941526375581086,2.079530615885177,2.986605682895259,2.2000629015031667,1.958367461064674
7,1.8985631131478276,1.0538094103010378,1.5965479292197078,1.5712342535009198,1.2186096481022441,1.5010894373456012,1.025280104548668,2.19306364061499,2.772710750774639,2.9928660706137005,3.0561479999260435,2.3420220580297886,2.6272938671581425,2.6525567620302297,2.49983360798173,2.8149813637001877,2.76046574072106,2.6303053927391544,2.7197616934152693,2.7388304944356996,1.7668259329665914
8,1.9612344563803068,1.2391367608850725,1.5094717374314242,1.321424063272544,1.1182708893699054,1.4876775976228258,1.2485759309819398,2.2491951557532017,2.587719906832445,3.019713149051128,3.3968168605689644,2.4791292317908926,2.9343316064209883,2.7665104036365396,2.88077493605203,3.319607088020721,3.2782835215091355,3.0547031356424292,3.298070612754211,3.233959350338481,2.1132417175731004
9,1.9280363518765082,0.9668705119708582,1.1788124911797213,1.569013014234691,1.0005565182266716,1.7203018846382683,1.5357901177699238,2.649316988009293,2.6635819633245124,2.3453480628363876,2.5852151699925634,2.6624376688227045,2.088485283046818,2.453431513106963,3.2139013245124954,3.778494693790678,2.5842226285924492,3.75087609991065,2.655618771653413,2.637371896970439,2.321359498698134
10,1.8273378090644878,0.9663847520972981,1.5219590563679986,1.4376826077433862,1.2329192666336457,1.4063848009816782,0.9518653375570023,1.89820589486353,2.7571174764135096,3.614757037809055,3.493111500533919,2.4329557631118974,3.40123727930729,3.3349835301695907,3.335717368403833,3.6165937079268398,3.5592498623853897,3.5377845888598025,3.618619907439684,3.466480293955116,2.124817628817038
11,1.3131957728498889,0.7049836604477422,1.1966102313046842,1.095337109854541,1.156776653285436,1.5559867565922603,1.012956059872252,2.2030918365525904,2.465532587243189,2.1628480069285367,2.3033227696504035,3.568148384117238,3.120413611062566,inf,3.438392741507035,3.7611832461683483,3.534344812646182,2.294463996474677,3.7080825845651217,2.4486512502273197,2.050855123560919
12,1.831192312469558,1.4766815270294034,3.0020946329032094,1.4546808329163938,2.8728318386513667,2.8894360819002682,2.83639284663589,2.3044422376636513,4.226515521263464,3.9843680222663513,4.8008717122244455,4.846505373836089,4.384971153635247,4.116267179275024,4.144888307377276,4.7598270095249156,4.743049248035868,4.568441835203478,4.960677124781894,4.74696175981657,4.482750221161085
13,1.7027073113608762,1.0367317215870961,1.3664336807269073,1.645624099595747,2.976463492002946,1.712752778399726,2.857545469852275,3.6076351162685927,3.8959093544393375,2.4036223086453443,5.16908022199063,5.2245096054372615,5.059278296762687,4.901971334865999,4.7204184779583205,5.082838386001933,4.877190412564247,5.009749420350157,5.275094672677295,5.181680176032041,4.95594869646814
14,2.3052475920704762,1.569068032903886,2.3108837272668206,2.1532150793680525,1.6695907791218203,1.8959114100543022,1.1250687395290964,2.578157073400173,3.8669846300501347,4.4785418877180305,5.309909139046438,3.65507890656166,4.8910727534004055,4.679397649522761,4.357919390938839,4.925680455078111,4.780455413454219,4.797361845809702,4.945371499622693,4.542759377547831,2.8400297612663294
15,1.5977875083124686,1.6234796593172254,1.4897301317069727,1.3737355936347417,0.9542953031904345,1.3466621380705532,0.4578906859534142,1.7949725708678366,2.8130754613418874,2.4099965501265026,3.3710316444904964,3.271085185248214,2.8552587152866753,2.981500120816433,4.629253796603536,5.020650455123391,3.3031854065744306,4.849345862542049,3.1878438258549027,3.294647899425253,2.688673529119583
16,1.926459133542272,2.114995354992297,2.2409767426375047,1.7451267305899858,1.4537212563236166,2.171166976407684,1.3133620225025058,2.485468224969367,3.3978603623843533,4.574194024733127,5.870454132459887,3.9397024216244114,5.2260717305262006,4.697246602650023,4.90270009743659,5.1672277001811455,5.0171419062734355,4.789186921883235,5.0552001756438365,4.978257939489248,2.734286651779824
17,1.7236107015412263,1.7550580510954072,1.8469369434781844,2.0879190839393424,1.7331570722141545,2.295780514906271,1.2542088302069263,2.4644354255090293,3.205267625949257,2.547470740511788,3.142189633602326,5.19524002613336,4.605780660671717,2.8068075422134227,4.954831878740696,5.077156161353187,5.435107961312119,3.4238939988343855,5.350819080535351,3.3851663622152524,2.9998293653982535
18,1.4790411213083192,1.7351103058096922,3.895881643739923,1.4381716074769495,4.4242943669675405,4.78844465220161,4.196538929314067,2.8209352327446044,6.306928472104242,5.6119295539953775,6.836763275083372,6.733572547303471,6.391644759245657,6.539511729807468,6.384739152490778,6.879107637237937,6.6024602953112,6.4525317833818105,6.744386804383789,6.562472626000614,5.89436964904528
19,3.9450687937006674,4.445308960193598,1.6058602319485173,1.5716159267280392,2.692198409157962,2.9387800869221405,2.5384392590981824,5.722808675287978,4.020075039341616,5.879981378044454,6.368626556082635,6.4416208388433,3.349806263008849,6.067589200067478,6.03212446908208,6.279201324920419,6.3853934882659855,6.583534380044614,6.428118768903141,6.501223343906949,5.983818073864818
20,1.8168015512124978,1.9893000971012216,1.7435523337099468,1.678448670043378,2.0829971497857174,2.077491727597987,2.1368625191697634,3.294020523750204,4.183916813498042,6.041676641095785,6.828522769128865,4.50541395503104,6.24046031509184,6.1369314015420855,6.039814184559622,6.612380509242484,6.47931877373365,6.268900369897944,6.466368566130354,6.296337458535196,3.354924135986309
21,2.8870451256338487,5.15487998362134,4.514977770466132,4.5456595278042755,3.373269067826555,5.911107496509226,4.4515615876884205,6.55429218880806,7.366513486017876,6.56796456135653,7.227527078271692,7.1471477769386516,6.11440644031831,6.55412731014406,6.3449809186896635,6.744220330959316,6.6691514254625845,6.623909607066461,6.5489622400980805,6.557145132496876,6.06607034205907
