EntryTime,AvgReturn_lb1,AvgReturn_lb2,AvgReturn_lb3,AvgReturn_lb4,AvgReturn_lb5,AvgReturn_lb6,AvgReturn_lb7,AvgReturn_lb8,AvgReturn_lb9,AvgReturn_lb10,AvgReturn_lb11,AvgReturn_lb12,AvgReturn_lb13,AvgReturn_lb14,AvgReturn_lb15,AvgReturn_lb16,AvgReturn_lb17,AvgReturn_lb18,AvgReturn_lb19,AvgReturn_lb20,AvgReturn_lb21
2018-01-01 09:15:00,-0.14811791932390167,0.4024920685888949,0.8390176566857324,1.2447538115869343,-0.09120615301944049,0.33760879548889317,-0.6941956199030773,2.01656090642523,2.8340323619403156,2.7304321308067396,2.168540978819837,1.153406761855152,1.3804820600680767,1.7587304442781047,0.381269707878833,0.7468261433641171,-0.8212281140273332,-0.8822246532530166,-0.9856801288585972,-0.8343737816017667,-0.742294440917489
2018-01-03 10:15:00,0.9123727811088204,3.6981886314547596,4.6307952876581995,4.1515450214156235,3.4254371058951056,4.185416423184293,5.7519620948417085,4.1980334396389,4.823325929375994,5.437124498528682,3.503584139463674,5.3521412052154,6.410484601059515,4.844071314703503,4.679343910853121,2.7354486862070098,5.612149570449689,3.9970173036054404,5.052148916776015,4.979980258958216,2.5859778329771625
2018-01-05 11:15:00,-3.1012613659168875,-0.9572437041113979,0.044618780176524764,0.4567532391076849,1.0963860789855122,0.9656309426068314,-0.9768061320634983,-1.1499091976404459,-0.15697805962102782,1.2258024352881915,2.72313956124165,2.1537784861392604,0.9381442662048558,0.5512776204556759,1.1898114436305964,-0.33047269090229364,2.521247782279642,-0.38768455154688114,0.14043146114153937,0.2427613139646251,-0.06655032909536338
2018-01-09 12:15:00,1.588237105459361,-0.2259483207420753,-0.48349683252547526,0.22860451438552865,0.6088539014248404,0.9825782183997178,0.3591456435770681,-0.05795804108445757,-0.363826950453516,-0.276621780291039,0.16009498438207379,2.2294743242585264,1.1143063881623214,2.1477330042364153,2.5454263267221293,0.9448319134426535,0.914125793332859,1.4671149588940011,2.0785376995572276,1.2692970992036705,1.0079322246653444
2018-01-11 13:15:00,0.21119720654437063,-0.22985846335333018,1.7368260494937613,1.098251419562352,-1.7073914073532772,0.23782882315753814,-2.310255382867595,-1.0340835308414815,-1.1135387780922295,-1.4633540665264433,-2.016836159752839,-2.2462056687057768,-0.21278384210351656,-0.4955467600799139,-0.6344763296616508,-0.0009395585784947702,0.014505650500665546,-0.7323834315645316,-1.9297338371452049,-2.0864589833440346,-1.8610349401733017
2018-01-15 14:15:00,-1.337908088824577,-1.9469489248887288,-0.7441074119644626,-0.879586388117399,-2.561533644969627,-1.2681081279453204,-2.3574209650985933,-1.4678775004009192,-0.18982793018683902,-1.7119575506124733,-1.261560853185842,-2.2138269996503652,-2.0568492890833605,-1.8609544684712696,-2.076692821218386,-2.479830248554438,-2.3954006355755184,-3.211434822731703,-2.6743477484186746,-4.382230292444646,-2.9759123459402064
2018-01-17 15:15:00,0.39904246895911427,-2.2192767510256264,-1.9614629015764595,-1.510064649328608,-1.405796830170448,-0.06830886036345922,-6.13017261317972,-4.3275071776692275,-5.101855088804403,-4.219381079930388,-2.9299527568759514,-4.197489329312042,-4.109240131684831,-3.630657822169659,-3.9084980141251244,-4.3714029723794,-4.337842072232432,-4.3714029723794,-6.761325667534919,-5.658829582343617,-4.920514725626516
2018-01-22 09:15:00,-0.26282652575326243,-3.7068554661214153,-3.586476418206677,-3.4376685763516903,-3.558047624266428,-1.9862045659618282,-3.4669138145806158,-1.0625949717156,-3.379268049580161,-3.379268049580161,-3.85005831175909,-3.85005831175909,-3.7459314760560765,-1.2043269426456447,-2.1459938831514527,-3.045968003060478,-3.2793389738348617,-3.025147360404571,-3.0251473604045716,-2.598448882411976,-2.262468650139288
2018-01-24 10:15:00,0.36164400051091844,-0.07485414713128882,-1.327603314446665,0.12706465883313928,0.38595786018372,0.04064921386454043,0.17526590984803933,0.09631420619201522,-1.402682785799327,-3.2906964473229126,-3.6055743007470205,-3.6055743007470205,-2.824859838935253,-1.6887246727025882,-4.064735296405344,-3.0050447688110244,-0.5791169972550894,-0.5791169972550894,-0.9196958480915066,-1.7807472191708165,-1.9682537808506069
2018-01-29 11:15:00,-4.876015598229534,-3.2503803488424183,-3.7016034645691973,-4.2039853621927135,-3.871415591599466,-3.0134814276233413,-2.854891456556357,-3.9033829795339647,-2.5788747092812088,-4.466601569888824,-3.132288590946121,-3.5315032640128576,-2.376348310209411,-3.091253863692256,-2.395186316359884,-1.7520275423744074,-3.3890749644532283,-1.3566166748921218,-2.6401942787868857,-2.2845984427246115,-3.229841629482479
2018-01-31 12:15:00,-4.670375779532234,-6.109163472004247,-5.211860427381301,-7.039818466373832,-8.404754017898071,-10.944939365936026,-8.252363551105613,-9.009515067280581,-8.81478035681902,-8.263181056924447,-9.25521920469239,-10.280939599656708,-10.081471417515647,-9.296734248663675,-11.15352929070789,-11.699824502087814,-8.53507966245394,-7.528725951813651,-6.77912395015115,-8.768223505189566,-7.073583070044933
2018-02-02 13:15:00,-5.335004612555649,-3.9012930076803456,-5.723607491057836,-4.48021873109393,-4.9195666955480615,-6.129356752490575,-4.087494263400066,-2.5269229987629656,-7.119487157178175,-7.189211832596746,-6.836490376097221,-7.62516820944987,-7.795638286819846,-7.502790995991369,-7.193443962587,-6.938438230455439,-7.307606441484614,-6.059691828386971,-6.9792768749506475,-7.1934439625870015,-6.778076126286479
