HoldingBar,AvgReturn_lb1,AvgReturn_lb2,AvgReturn_lb3,AvgReturn_lb4,AvgReturn_lb5,AvgReturn_lb6,AvgReturn_lb7,AvgReturn_lb8,AvgReturn_lb9,AvgReturn_lb10,AvgReturn_lb11,AvgReturn_lb12,AvgReturn_lb13,AvgReturn_lb14,AvgReturn_lb15,AvgReturn_lb16,AvgReturn_lb17,AvgReturn_lb18,AvgReturn_lb19,AvgReturn_lb20,AvgReturn_lb21
1,-0.6689354500623543,-0.3121915639206189,-0.23560988715124506,-0.5077489660565224,-0.1549449962008974,-0.4293238780366835,-0.38501854225638044,-0.17435471531867092,-0.27717614471429725,-0.26430323380015425,-0.2662844879497601,-0.3036607179131377,-0.37472951595387965,-0.29956544775692034,-0.38053266322002244,-0.36494667748669135,-0.40335181716665697,-0.3175610408892541,-0.35748294561699,-0.3474556399301557,-0.30157786401267467
2,-0.7527588736625008,-0.29653644121633566,-0.17225386251812758,-0.45702815377388106,-0.043760870458695686,-0.2650530228488017,-0.15793341430947783,0.012827040635330487,-0.12858322747592305,-0.06595215733219931,-0.1558122205767358,-0.20413097804733601,-0.3256258187043258,-0.1556676013002326,-0.24318208143889256,-0.27723719427934335,-0.297612428728823,-0.1789805814452584,-0.263827389040306,-0.2751879444997598,-0.20296595297637682
3,-0.5684875116955632,-0.019873649536946307,-0.2400695500824093,-0.09845097047525114,-0.07114406256504247,-0.27570794611334193,-0.1388198327117984,0.16139924640084014,-0.15351160702750527,-0.22772022551224036,-0.1247799291182864,-0.2023950483056152,-0.24228619358727105,-0.062034980708507256,-0.22349046157849456,-0.22021378653455076,-0.2094344597470841,-0.20945221112956686,-0.24876762497370075,-0.1504201939389143,-0.2025855282873513
4,-0.7664611449570106,-0.22922504474896374,-0.2102111448684092,-0.2530982733183625,0.11706283866381749,-0.06910576728779724,-0.12974870636657826,0.055495519164523284,-0.09581308102091737,-0.04660029449253017,-0.09464051772596152,-0.12327177142102937,-0.1710698804869678,-0.02273349903854124,-0.05164359012390383,-0.09689561826306675,-0.19630977537462085,-0.050771212518369434,-0.11910116831336756,-0.13561334557180682,-0.14804353938245352
5,-0.05064450732889479,0.5095995398092099,0.07894722013503602,0.5949126318069852,0.2816608720571575,0.1072553773323959,0.05341674391426477,0.8244413362672055,0.18534214982364616,0.08074395529590112,0.047339650450243784,-0.01590605718031988,0.05709798463621601,0.07431872391074518,0.026169538407129895,0.00850785923343344,0.051443135287122264,0.04023856710016921,0.01216389237457482,-0.06126648123662183,-0.028759985909313664
6,0.09780466176363531,-0.0009165549132028846,0.11145946019757795,0.6704140548240525,1.0387569583857403,0.8309290327435742,0.09614885905705423,0.21021795883544553,0.02561400667752073,0.21511161887832386,0.2102254212927412,0.20522581131738316,0.06835095616937632,0.2339222171077604,0.05027347670949745,0.02763876152725907,0.08686342124745713,0.22984904103198242,0.07707043488267627,0.046400568108823564,0.06474559761612485
7,-0.4652013708132521,1.1449701194330377,1.306449623775078,0.7174114279326758,1.5667268435109665,1.0742613513073083,0.3638498250578192,1.5360163744330246,0.7591861463383449,0.7008578838168478,0.5710588772444013,0.5037274835498277,0.6840709964768219,0.6878542131962673,0.35957836484483097,0.35276459587934456,0.3472204730847449,0.4412154377828149,0.3489133071911712,0.3134718540286033,0.40519717816814477
8,-0.7312899199272483,1.308786778024925,1.2677692213664105,0.7791590020739273,1.462861469103799,0.7456829264620133,-0.13970072660565322,1.219519983494085,0.22896382805521812,0.28285991580127423,0.2428204372709127,0.25197654769244465,0.05387840555528206,0.22090282443960452,0.04305687881776659,0.019281934762168735,-0.06810411516792045,0.152974239876538,-0.008249745832447662,-0.023632209143393236,-0.046870828491394526
9,0.4791692492704402,1.5112502864487294,0.6976164977619921,1.0265737930594578,0.6642440225271641,-0.02002188408001515,-0.00846006807294116,1.6536684402882986,0.5754291508361263,0.49989455153610907,0.5060853963333599,0.4812675075496237,0.3250118224670547,0.4671447894682513,0.3046707438305008,0.23184256561128236,0.25932868784732094,0.256528029953981,0.19180221852363988,0.14910270256714506,0.18628977720790166
10,-0.5436142548317893,1.7288304082166945,1.7067655182337844,1.194710989995994,1.7076657480101214,1.291834746567262,0.25869850598618666,1.8766927241721212,0.47437009357241267,0.8286577718243358,0.713372804617061,0.694988628171872,0.36719540016788166,0.7165402983642762,0.2807751174321454,0.25901503331505676,0.3202832523789607,0.38236733351630037,0.2362883163278749,0.20879896169678638,0.2840315317562754
11,0.4716821623039086,0.46641462750323626,0.5390153674977927,0.9334575637609587,1.8935674657974908,1.1921902300551068,-0.20756053548348616,0.35372722906985904,0.48978532845034267,0.3678559733912729,0.3257398356371819,0.46009701901162775,0.3302725224718689,0.3712063327878074,0.13899637324324382,0.2679395273142233,0.08874357867107904,0.20573739851605236,-0.06825505532717727,0.07588499387052652,-0.013307967088073107
12,-0.6408567084125995,0.4661016435202446,0.495179784041984,-0.06538037912647437,0.7325094983446351,0.1391721755275673,0.10507506834061936,0.3909334115100341,0.1452538569406336,0.38546665700927335,0.29229616969910877,0.1743064212362014,-0.05649258178465614,0.2791912718590084,0.038851757341412295,-0.0602532383260718,0.05710278558398358,0.3703581995465568,0.18913542446061557,0.2530307353248777,0.15114521558954863
13,-0.5391927585769702,0.47015840727429853,0.36188720065564994,-0.270772389148948,0.9247536019189143,0.11695742586282015,0.20461879532659785,0.4582305990287057,0.32014185608846407,0.35032805145176915,0.1954655603743558,0.1147657092247657,-0.05683856596605336,0.09015329447444795,-0.0608286502272242,-0.1492691997450085,-0.20239630141996623,-0.17126649027593022,-0.15114945512730293,-0.021311497976907776,-0.1936126068317999
14,-0.48358542455276116,2.5301397415495206,2.5748328288054156,1.6534908654407965,2.9689904524949173,2.316001963651279,0.5305394756633,2.532721285712655,0.8914154583859206,1.0197838655637639,1.0470449530578425,0.7780961877391274,0.5948880064211288,0.6822227710940816,0.21738392816330646,0.40495473802392457,0.3338129781504566,0.48741530305031555,0.2157024663657286,0.37626246402810454,0.2402284688689755
15,1.3020865906272052,3.02354504950064,0.9404525835942857,1.8705797649732037,0.8779178120461609,0.07208507901501843,0.37787905605242567,2.9057731159058013,0.9383678110792381,1.108642908113273,0.8647550722255599,0.8236504073425636,0.33429838487240754,0.5274375953664825,0.2429334731515909,0.17570698863473538,0.17398554595063212,0.4404287066381307,0.18503772014283462,0.2713389479158048,0.2511735504939428
16,-0.6365573937092583,2.772926760593569,2.7772233046426993,1.5626052427778139,2.7957628323850354,1.673742479481436,-0.07427326369874095,2.267484061904256,0.2580679099096984,0.4513959177797145,0.3054307565828022,0.2822021806009088,-0.09486572421717021,0.23446367633737944,-0.07320467783786337,-0.0976662767207431,-0.15341625892682131,0.030659285847432168,-0.16990343562998986,-0.07185328821961355,-0.15711282958517767
17,1.520698649857118,0.893115465182874,0.8599272044765475,2.017757114687243,3.3306141949118633,2.051696672347395,0.780906775566397,1.213427274778833,1.0546329291779686,0.9193603329708361,0.856286011022057,0.6774242317305939,0.4857519258664296,0.5856368944017428,0.2518592120946585,0.098102414607665,-0.12022577417136285,0.42089939358476547,0.02599521210903093,0.26444218390020025,0.17215564639887992
18,-0.639946129681618,0.8522305437090502,0.7037967062594715,0.2718312076884925,0.8801170251975444,0.42185898989797027,0.38353174694596,0.9828479928451453,1.026629199608433,0.9000219383608602,0.8899639907015663,0.8803043838278605,0.4024066781411779,0.603177207026464,0.05697569956039272,-0.02951756407823621,-0.25847689664697676,0.15932423512213742,-0.009833272005284943,0.4749616730676678,0.1996141824265297
19,-0.372314876722938,0.9290568982909685,1.5014149078038967,0.556672566297978,1.5971658100497073,0.5619453245027639,0.5428115001535754,0.9912703786343852,0.7420009747315579,0.5904063466875599,0.6325145667877364,0.3808838310155346,0.16033423704762895,0.4105234879258411,0.029165096257660745,0.021763354541140822,-0.3921636196744623,0.05075574671999267,-0.0643400231365456,0.3921243500226393,0.03644770158773777
20,-0.6254271118030957,3.467951889029527,2.9802155019887984,2.213750131468369,2.6784624612509074,2.091185763236544,-0.0871124282543434,2.4089398351761515,0.1498184386128528,0.2020153027865619,0.009588221681601328,-0.010617949663352956,-0.42026759954666926,-0.09377632823726223,-0.697022904960962,-0.732796628741589,-0.6463772129317227,-0.23247082422043688,-0.5547905212081047,-0.4561861970151818,-0.6533003697356964
21,-1.0062331573119596,0.09266786400996357,0.0888489759915377,-0.6281141418869867,0.34573207016879326,-0.20765467889390724,-0.0024848077430898773,0.09656486419894318,0.13369341163266477,0.11305180586819125,0.13617576834853032,0.13341674992700875,0.1970991966453627,0.02185604878715466,-0.39073634924252687,-0.06260780059169861,-0.02740052673764509,-0.02747779158589537,-0.2329193830162558,-0.22483340712124597,-0.1850782125612049
