HoldingBar,AvgReturn_lb1,AvgReturn_lb2,AvgReturn_lb3,AvgReturn_lb4,AvgReturn_lb5,AvgReturn_lb6,AvgReturn_lb7,AvgReturn_lb8,AvgReturn_lb9,AvgReturn_lb10,AvgReturn_lb11,AvgReturn_lb12,AvgReturn_lb13,AvgReturn_lb14,AvgReturn_lb15,AvgReturn_lb16,AvgReturn_lb17,AvgReturn_lb18,AvgReturn_lb19,AvgReturn_lb20,AvgReturn_lb21
1,0.2705762094943836,0.26909738323005855,0.24349380721662373,0.22166560532808086,0.18213274461428777,0.13796244690574655,0.10969461279022973,0.13462138308231583,0.15075339215724823,0.16253799090079157,0.15839788214482242,0.13713503102909635,0.11702261097738482,0.11118549970764073,0.11117159979014142,0.13443817726342341,0.14131083742575445,0.11958848745258747,0.13416135131145907,0.12405919957545426,0.09790772750991542
2,0.35963366738514563,0.31052941351177205,0.32565276740381593,0.3064728024819266,0.2852473120014213,0.24787166261349852,0.15001137280732973,0.19403740706379555,0.2766470230297882,0.2738777226112663,0.26612227810226724,0.27396469535340084,0.2206208104781755,0.16459270278246307,0.15854909656055763,0.18595885207266744,0.17417543054506146,0.19680703328108787,0.217027085784329,0.17521836718055778,0.16434171216920707
3,0.34939086846602097,0.3739696600316795,0.2726743002798584,0.24190455189735716,0.19286797328480418,0.08366860698916105,-0.002446738066959076,0.12111079088456243,0.11859266086038661,0.12314498684238019,0.17789331623321727,0.17911370077890124,0.12091608338623291,0.0891027359722762,0.14347344475742307,0.15288865941002316,0.17876368253755892,0.15348647751450292,0.13941023616330125,0.1287360656545876,0.1037739651363455
4,0.5146710131670704,0.4455165668666769,0.34251337359632716,0.41611069662753025,0.26479966194786864,0.09688339301021662,0.13077394407040752,0.2525183665325396,0.2998130018443744,0.35089949040500895,0.26341387852922354,0.2530545063926536,0.12150594696270108,0.08291855297009074,0.13664695208646827,0.1967915634771203,0.2783407197615363,0.20169477088442167,0.2584191008402548,0.19077283232980888,0.23097571194890298
5,0.47832309797032263,0.35998066515294846,0.444516710127739,0.36937446447273337,0.2210300140176416,0.16030536918668215,-0.025355450820700925,0.1342069190730098,0.2684796316162295,0.26323871075551086,0.22657253515283915,0.1772149342618669,0.113843030488985,0.1024855977090402,0.0874711650582223,0.1786368707149853,0.1644831338990445,0.31972986024251027,0.3216177578076242,0.2445552826332795,0.23442237104569252
6,0.4564306899636176,0.3694285826973234,0.22851813336157556,0.23583325691128473,0.09151818246332395,0.020400003486351695,0.008925437637025833,0.12412600127858708,0.2184231438507439,0.20278331410319073,0.14500804655076893,0.1350628104675686,0.04635172400715028,-0.06100515255414002,0.07021952672191849,0.14008845450777374,0.1754188972357862,0.08030855121621479,0.2364457042145254,0.17173561518558828,0.16408664556517882
7,0.7195223392778879,0.38672570786867266,0.7754174458464976,0.734879364719377,0.42491677359172975,0.35080061674499236,-0.017028779552648178,0.26464514059741917,0.43419998047144076,0.31471525535505235,0.4862388568933868,0.4252603487632553,0.23969795765416835,0.33788909550342344,0.22697401520950222,0.2382703754143304,0.25213289893710533,0.25868123890799793,0.2969349236992277,0.13378012957815422,0.27540561411060904
8,0.6587291863376588,0.3738699243230246,0.44740095893927917,0.4842246526978496,0.32819360486044724,0.38228072369504845,0.09732683101693823,0.35159282626072774,0.3847063684474358,0.26495751948041263,0.30659600991935043,0.2753039971311065,0.15981231723375955,0.29745576398889306,0.19685643079309526,0.364762167532814,0.4473694348395681,0.3220233623488773,0.41454764733278887,0.2149272889618226,0.3103056996867175
9,0.5786202170073663,0.401959738469627,0.41437595088073836,0.39323897090745863,0.20132631014331906,0.42621301804082606,0.05472210225653213,0.3050051800027232,0.3295558451682681,0.25868054659362655,0.1733390036879059,0.2774309511664959,0.15228133684298528,0.3759055306083508,0.08423791207602249,0.27586324163283854,0.31290375453852887,0.2760951017787383,0.2927130225937322,0.2300753364347834,0.20832750201458547
10,0.7573998591662687,0.3810299464045682,0.6934526489381996,0.6836867375722006,0.5584008044548447,0.4304216117456261,-0.14072559875454946,0.16179563293756255,0.4714062492743705,0.4881097337857184,0.5124927700029602,0.43340564285743716,0.4751599400085707,0.45721820065961344,0.4463360272388235,0.43949702237061133,0.5096847500329104,0.5993359417277103,0.6052926837245896,0.33134443914361844,0.34829944978740973
11,0.4056217366095712,0.22892731854929824,0.5023546506080501,0.3835419333297553,0.2002808631547437,0.2752375619701071,-0.18117140758842726,0.06358026712242328,0.1239138271678747,0.177741444838792,0.20597184566027854,0.1272092688521324,0.029153779914146197,0.2869795599046188,0.2688392834242555,0.27347918577171454,0.2773470702584481,0.23778869310330505,0.2602621625416984,0.20010017578372258,0.17761273718444484
12,0.8967553197761351,0.6080205996379011,0.5875871101435379,0.6892338588256504,0.500072775058358,0.49330950078568275,0.22784589899562935,0.6173971725668547,0.7693701464795158,0.6938957478999088,0.5693304423374462,0.6217319206682338,0.4198279933856247,0.36246491905476413,0.30800153779910056,0.5736107239615991,0.635907528076219,0.4507268009751669,0.7021681651407189,0.4284686590503563,0.48260927272871534
13,0.4794767098834647,0.22079047002642876,0.43993710831038735,0.49235265698861314,0.3564145070286999,0.36661463279788975,0.03917512703806974,0.26117276684733076,0.34780705078743424,0.35612666972077583,0.14016298425101337,0.15784284855785596,0.08459030152160497,0.2572453437062227,0.13121017071921826,0.14423620511548504,0.17843986046236218,0.23420095146141637,0.3381555359443975,0.23751583521541267,0.2575704485677651
14,0.9154476640579864,0.6151538992149956,1.4717679524726377,1.2889051093609434,0.6961542911552565,0.8639184068210981,0.0637082738137458,0.4741123155932949,1.0719865381391311,0.910801345369288,0.9647846614508001,0.7833640890379423,0.48518503072487085,0.6886750763885293,0.43192459137032535,0.45759699665044257,0.45370546075949647,0.6214182163186319,0.5803550154143364,0.22422659927202943,0.5165859134678061
15,0.7631949428492556,0.42401851013421893,0.8846557104262603,0.7685711882677676,0.475028551196609,0.4297721106524725,-0.3698314047255711,0.06577447041794411,0.3880262307157783,0.41255916838436085,0.5000439748202746,0.33044226570028257,0.5851281617198665,0.6250595526948107,0.5610970265481116,0.5363650099101326,0.6257409245908268,0.584005946964101,0.5466361575384721,0.5739004345539924,0.15119517542191055
16,0.8641191191853231,0.37288396687465863,0.9050619287479461,0.8712280129928479,0.7144190166817223,0.5600588114261862,0.06229903760497451,0.5278247359650212,0.8137989728429965,0.6456118430796173,0.760795414996045,0.7191523770897428,0.6663383810384991,0.6362521834700593,0.6213300866596141,0.510404355331364,0.5964038623340147,0.6043345504096863,0.6429626958528082,0.4099142029690441,0.2615523869949122
17,0.6215427434710701,0.28101203960406107,0.6187919124778426,0.6500619944445735,0.3768646078551959,0.44598973025574984,-0.25461335551181236,0.36190068569139044,0.3998786355856378,0.3537788812067348,0.37130769933599206,0.3100073287766255,0.17077158805508325,0.41285734824663384,0.38776138992652126,0.5228986688758331,0.49476869304921106,0.5310076438799726,0.4503242064673357,0.22520118482570467,0.2439266843223892
18,0.667256270493057,0.26709739459288356,0.8416034750393817,0.7005106982643295,0.40697153083539944,0.61600937300408,-0.13020556404844388,0.21082636620417664,0.46016643825348486,0.309310276370183,0.5414062791261106,0.4244118270496102,0.5940686885533454,0.7757596676091177,0.3658941991644001,0.569378620963409,0.41992721860444776,0.32539520274364037,0.5752733809476709,0.5363392429805743,0.25455963705111645
19,0.7061825426221531,0.5364611298154345,0.9054124860659597,0.8781078027285771,0.5141038704493994,0.534347046553233,0.2764941714204001,0.9443945747207327,0.5990915793715588,0.7357200331063963,0.8109308161104819,1.159213389298084,0.6216962986713438,0.8980087606876687,0.49058280577912045,0.47070498976227393,0.7241607645270878,0.9268714487243722,0.7562031743246848,0.6452810292845381,0.8014733094348894
20,0.8221649379420769,0.4067505275067569,0.9334968158927234,0.9246717141402657,0.7853231405827686,0.5963708465844446,-0.031133991912343652,0.31998800571758107,0.710973257357289,0.638857774989948,0.6397916316731508,0.6701101760564498,0.5297809023645503,0.5947773034814593,0.5728060563729995,0.6678194398750814,0.626552735571863,0.5880732096997034,0.6197789231338611,0.37382778712149745,0.2840646056995514
21,1.2147909611538579,0.978383367880241,1.5338110667671305,1.4889916548723328,0.9456770027511713,0.7488598901568307,0.021867035662185952,0.938814302530309,0.9849519215437866,1.0286432568668187,1.2023186881083356,0.9861905698860051,0.7910832215184693,1.0081219089782902,0.991852630005884,1.0273952824103285,1.0285735691141829,0.9380150892146237,0.8739416006994809,0.7829258534421731,0.6797323283746358
